CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
46048;Bellreguard; 88; 1909,72; 15; 325,52; 2; 43,4
46049;Bellús; 4; 1315,79; 0; 0,0; 0; 0,0
12024;Benafer; 1; 657,89; 0; 0,0; 0; 0,0
12025;Benafigos; 0; 0,0; 0; 0,0; 0; 0,0
46051;Benaguasil; 150; 1365,13; 5; 45,5; 0; 0,0
46050;Benagéber; 1; 520,83; 0; 0,0; 0; 0,0
12026;Benasal; 13; 1217,23; 1; 93,63; 0; 0,0
3022;Benasau; 0; 0,0; 0; 0,0; 0; 0,0
46052;Benavites; 12; 1938,61; 2; 323,1; 1; 161,55
3023;Beneixama; 22; 1305,64; 6; 356,08; 1; 59,35
46053;Beneixida; 3; 460,83; 1; 153,61; 0; 0,0
3024;Benejúzar; 126; 2332,47; 25; 462,79; 4; 74,05
46054;Benetússer; 528; 3567,81; 59; 398,68; 5; 33,79
3025;Benferri; 66; 3398,56; 3; 154,48; 0; 0,0
3026;Beniarbeig; 25; 1195,03; 0; 0,0; 0; 0,0
3027;Beniardá; 0; 0,0; 0; 0,0; 0; 0,0
46055;Beniarjó; 35; 1983,0; 1; 56,66; 1; 56,66
3028;Beniarrés; 21; 1878,35; 0; 0,0; 0; 0,0
46056;Beniatjar; 4; 1793,72; 1; 448,43; 0; 0,0
12027;Benicarló; 762; 2831,45; 126; 468,19; 10; 37,16
12028;Benicasim/Benicàssim; 276; 1517,15; 13; 71,46; 6; 32,98
46057;Benicolet; 9; 1581,72; 1; 175,75; 0; 0,0
46904;Benicull de Xúquer; 11; 1086,96; 0; 0,0; 0; 0,0
3030;Benidoleig; 6; 547,95; 0; 0,0; 0; 0,0
3031;Benidorm; 1379; 2006,66; 67; 97,5; 75; 109,14
46059;Benifairó de la Valldigna; 34; 2164,23; 8; 509,23; 0; 0,0
46058;Benifairó de les Valls; 24; 1097,9; 2; 91,49; 0; 0,0
46060;Benifaió; 476; 3979,27; 38; 317,67; 4; 33,44
3032;Benifallim; 0; 0,0; 0; 0,0; 0; 0,0
3033;Benifato; 0; 0,0; 0; 0,0; 0; 0,0
46061;Beniflá; 1; 218,82; 0; 0,0; 0; 0,0
3029;Benigembla; 0; 0,0; 0; 0,0; 0; 0,0
46062;Benigánim; 314; 5375,79; 15; 256,81; 7; 119,84
3034;Benijófar; 70; 2107,16; 4; 120,41; 1; 30,1
3035;Benilloba; 18; 2486,19; 3; 414,36; 0; 0,0
3036;Benillup; 0; 0,0; 0; 0,0; 0; 0,0
3037;Benimantell; 4; 828,16; 1; 207,04; 0; 0,0
3038;Benimarfull; 1; 244,5; 0; 0,0; 0; 0,0
3039;Benimassot; 0; 0,0; 0; 0,0; 0; 0,0
3040;Benimeli; 6; 1435,41; 1; 239,23; 0; 0,0
46063;Benimodo; 9; 396,83; 1; 44,09; 0; 0,0
46064;Benimuslem; 8; 1225,11; 1; 153,14; 0; 0,0
46065;Beniparrell; 37; 1895,49; 8; 409,84; 1; 51,23
